2018-10-29 17:59:41.056063
    0: 14.000000/100
   10: 24.200000/100
   20: 28.100000/100
   30: 30.400000/100
   40: 27.600000/100
   50: 26.000000/100
   60: 22.900000/100
   70: 25.900000/100
   80: 23.800000/100
   90: 21.300000/100
  100: 21.100000/100
  110: 19.200000/100
  120: 21.800000/100
  130: 18.600000/100
  140: 20.000000/100
  150: 19.300000/100
  160: 17.800000/100
  170: 14.100000/100
  180: 16.500000/100
  190: 14.800000/100
  200: 15.200000/100
  210: 15.900000/100
  220: 14.100000/100
  230: 14.300000/100
  240: 13.000000/100
  250: 15.700000/100
  260: 13.600000/100
  270: 14.100000/100
  280: 14.500000/100
  290: 14.000000/100
  300: 13.900000/100
  310: 13.500000/100
  320: 15.700000/100
  330: 14.200000/100
  340: 12.600000/100
  350: 17.100000/100
  360: 12.200000/100
  370: 13.900000/100
  380: 14.200000/100
  390: 12.300000/100
  400: 13.700000/100
  410: 14.000000/100
  420: 12.800000/100
  430: 13.500000/100
  440: 13.700000/100
  450: 13.400000/100
  460: 11.700000/100
  470: 12.400000/100
  480: 13.600000/100
  490: 12.000000/100
  500: 11.800000/100
  510: 11.800000/100
  520: 12.600000/100
  530: 11.100000/100
  540: 11.900000/100
  550: 12.000000/100
  560: 11.500000/100
  570: 12.600000/100
  580: 10.500000/100
  590: 13.100000/100
  600: 12.000000/100
  610: 11.900000/100
  620: 10.800000/100
  630: 12.400000/100
  640: 11.400000/100
  650: 11.300000/100
  660: 11.300000/100
  670: 13.700000/100
  680: 13.100000/100
  690: 12.700000/100
  700: 10.600000/100
  710: 10.900000/100
  720: 12.800000/100
  730: 11.800000/100
  740: 11.900000/100
  750: 12.000000/100
  760: 10.500000/100
  770: 12.000000/100
  780: 12.100000/100
  790: 11.600000/100
  800: 11.100000/100
  810: 11.600000/100
  820: 12.600000/100
  830: 12.200000/100
  840: 10.200000/100
  850: 12.100000/100
  860: 14.500000/100
  870: 12.300000/100
  880: 13.500000/100
  890: 11.800000/100
  900: 12.300000/100
  910: 13.200000/100
  920: 12.000000/100
  930: 12.000000/100
  940: 13.300000/100
  950: 14.000000/100
  960: 10.500000/100
  970: 13.500000/100
  980: 11.100000/100
  990: 12.900000/100
 1000: 12.600000/100
 1010: 13.300000/100
 1020: 11.200000/100
 1030: 10.600000/100
 1040: 13.200000/100
 1050: 15.500000/100
 1060: 10.900000/100
 1070: 11.700000/100
 1080: 11.200000/100
 1090: 11.300000/100
 1100: 11.900000/100
 1110: 13.300000/100
 1120: 13.200000/100
 1130: 12.300000/100
 1140: 14.800000/100
 1150: 12.600000/100
 1160: 11.600000/100
 1170: 12.400000/100
 1180: 11.500000/100
 1190: 10.900000/100
 1200: 13.900000/100
 1210: 13.200000/100
 1220: 11.100000/100
 1230: 11.500000/100
 1240: 11.600000/100
 1250: 12.300000/100
 1260: 11.500000/100
 1270: 11.600000/100
 1280: 15.400000/100
 1290: 12.700000/100
 1300: 12.300000/100
 1310: 14.500000/100
 1320: 14.100000/100
 1330: 12.900000/100
 1340: 12.100000/100
 1350: 12.000000/100
 1360: 11.600000/100
 1370: 12.400000/100
 1380: 12.300000/100
 1390: 12.500000/100
 1400: 11.200000/100
 1410: 13.400000/100
 1420: 13.500000/100
 1430: 11.000000/100
 1440: 13.400000/100
 1450: 14.800000/100
 1460: 13.100000/100
 1470: 13.100000/100
 1480: 10.800000/100
 1490: 10.900000/100
 1500: 10.500000/100
 1510: 12.600000/100
 1520: 12.100000/100
 1530: 12.100000/100
 1540: 11.700000/100
 1550: 12.500000/100
 1560: 12.800000/100
 1570: 11.600000/100
 1580: 14.100000/100
 1590: 13.400000/100
 1600: 12.200000/100
 1610: 11.100000/100
 1620: 13.300000/100
 1630: 12.700000/100
 1640: 13.400000/100
 1650: 12.600000/100
 1660: 14.700000/100
 1670: 14.000000/100
 1680: 11.300000/100
 1690: 12.200000/100
 1700: 13.500000/100
 1710: 14.000000/100
 1720: 11.200000/100
 1730: 14.600000/100
 1740: 13.500000/100
 1750: 14.000000/100
 1760: 11.900000/100
 1770: 11.300000/100
 1780: 13.600000/100
 1790: 13.700000/100
 1800: 12.300000/100
 1810: 13.900000/100
 1820: 13.300000/100
 1830: 12.300000/100
 1840: 12.500000/100
 1850: 12.400000/100
 1860: 13.000000/100
 1870: 12.900000/100
 1880: 14.600000/100
 1890: 13.100000/100
 1900: 13.300000/100
 1910: 12.200000/100
 1920: 13.300000/100
 1930: 11.700000/100
 1940: 13.700000/100
 1950: 12.600000/100
 1960: 14.300000/100
 1970: 13.200000/100
 1980: 12.000000/100
 1990: 13.100000/100
 2000: 12.300000/100
 2010: 13.200000/100
 2020: 13.800000/100
 2030: 11.500000/100
 2040: 13.100000/100
 2050: 13.200000/100
 2060: 14.200000/100
 2070: 13.300000/100
 2080: 16.500000/100
 2090: 14.100000/100
 2100: 13.200000/100
 2110: 11.500000/100
 2120: 12.600000/100
 2130: 11.800000/100
 2140: 13.600000/100
 2150: 13.500000/100
 2160: 14.100000/100
 2170: 14.500000/100
 2180: 14.100000/100
 2190: 12.400000/100
 2200: 12.500000/100
 2210: 13.400000/100
 2220: 13.400000/100
 2230: 14.000000/100
 2240: 11.500000/100
 2250: 14.100000/100
 2260: 11.000000/100
 2270: 12.600000/100
 2280: 12.300000/100
 2290: 15.700000/100
 2300: 12.100000/100
 2310: 9.800000/100
 2320: 12.700000/100
 2330: 11.500000/100
 2340: 13.200000/100
 2350: 13.500000/100
 2360: 14.000000/100
 2370: 11.400000/100
 2380: 13.900000/100
 2390: 11.200000/100
 2400: 10.700000/100
 2410: 12.600000/100
 2420: 14.300000/100
 2430: 14.400000/100
 2440: 13.300000/100
 2450: 13.700000/100
 2460: 14.000000/100
 2470: 11.600000/100
 2480: 14.000000/100
 2490: 14.100000/100
 2500: 11.300000/100
 2510: 13.700000/100
 2520: 12.800000/100
 2530: 13.600000/100
 2540: 14.100000/100
 2550: 13.400000/100
 2560: 13.100000/100
 2570: 14.400000/100
 2580: 14.600000/100
 2590: 12.400000/100
 2600: 14.400000/100
 2610: 14.400000/100
 2620: 13.300000/100
 2630: 12.200000/100
 2640: 12.700000/100
 2650: 14.300000/100
 2660: 16.200000/100
 2670: 13.600000/100
 2680: 13.200000/100
 2690: 15.900000/100
 2700: 13.400000/100
 2710: 14.800000/100
 2720: 14.100000/100
 2730: 10.400000/100
 2740: 14.500000/100
 2750: 13.500000/100
 2760: 11.000000/100
 2770: 11.200000/100
 2780: 12.600000/100
 2790: 13.600000/100
 2800: 15.800000/100
 2810: 14.200000/100
 2820: 11.700000/100
 2830: 12.700000/100
 2840: 14.200000/100
 2850: 13.900000/100
