2018-10-29 17:59:06.619548
    0: 24.000000/100
   10: 21.900000/100
   20: 22.100000/100
   30: 21.700000/100
   40: 20.700000/100
   50: 19.900000/100
   60: 20.800000/100
   70: 19.400000/100
   80: 22.900000/100
   90: 22.000000/100
  100: 21.500000/100
  110: 21.100000/100
  120: 21.500000/100
  130: 22.700000/100
  140: 20.500000/100
  150: 23.100000/100
  160: 22.200000/100
  170: 20.500000/100
  180: 22.100000/100
  190: 21.000000/100
  200: 21.800000/100
  210: 21.700000/100
  220: 21.000000/100
  230: 21.800000/100
  240: 19.500000/100
  250: 20.400000/100
  260: 22.000000/100
  270: 20.500000/100
  280: 22.400000/100
  290: 21.000000/100
  300: 20.300000/100
  310: 21.100000/100
  320: 21.200000/100
  330: 18.400000/100
  340: 21.200000/100
  350: 22.000000/100
  360: 20.200000/100
  370: 20.900000/100
  380: 21.600000/100
  390: 22.000000/100
  400: 23.400000/100
  410: 22.200000/100
  420: 21.100000/100
  430: 22.200000/100
  440: 22.000000/100
  450: 20.000000/100
  460: 18.900000/100
  470: 22.400000/100
  480: 22.400000/100
  490: 20.300000/100
  500: 20.600000/100
  510: 20.500000/100
  520: 22.100000/100
  530: 21.000000/100
  540: 23.100000/100
  550: 21.100000/100
  560: 22.100000/100
  570: 21.300000/100
  580: 21.900000/100
  590: 22.500000/100
  600: 20.800000/100
  610: 19.600000/100
  620: 20.700000/100
  630: 21.600000/100
  640: 19.900000/100
  650: 22.100000/100
  660: 21.300000/100
  670: 20.500000/100
  680: 20.500000/100
  690: 22.500000/100
  700: 20.300000/100
  710: 22.000000/100
  720: 22.400000/100
  730: 21.300000/100
  740: 20.600000/100
  750: 22.400000/100
  760: 20.800000/100
  770: 21.500000/100
  780: 19.500000/100
  790: 21.800000/100
  800: 20.500000/100
  810: 20.200000/100
  820: 20.400000/100
  830: 22.700000/100
  840: 21.600000/100
  850: 20.400000/100
  860: 21.400000/100
  870: 22.300000/100
  880: 20.400000/100
  890: 21.500000/100
  900: 23.400000/100
  910: 22.400000/100
  920: 22.400000/100
  930: 21.000000/100
  940: 23.300000/100
  950: 20.000000/100
  960: 21.000000/100
  970: 22.500000/100
  980: 22.400000/100
  990: 20.800000/100
 1000: 21.700000/100
 1010: 21.900000/100
 1020: 22.400000/100
 1030: 20.000000/100
 1040: 20.700000/100
 1050: 21.000000/100
 1060: 21.600000/100
 1070: 23.900000/100
 1080: 22.000000/100
 1090: 21.000000/100
 1100: 21.000000/100
 1110: 20.300000/100
 1120: 21.600000/100
 1130: 21.500000/100
 1140: 21.600000/100
 1150: 20.000000/100
 1160: 21.400000/100
 1170: 22.400000/100
 1180: 21.000000/100
 1190: 21.600000/100
 1200: 23.900000/100
 1210: 21.800000/100
 1220: 20.900000/100
 1230: 19.300000/100
 1240: 19.200000/100
 1250: 20.100000/100
 1260: 21.000000/100
 1270: 20.800000/100
 1280: 21.500000/100
 1290: 18.200000/100
 1300: 20.800000/100
 1310: 19.200000/100
 1320: 21.000000/100
 1330: 20.900000/100
 1340: 21.000000/100
 1350: 20.600000/100
 1360: 20.200000/100
 1370: 21.900000/100
 1380: 19.700000/100
 1390: 20.300000/100
 1400: 20.300000/100
 1410: 20.600000/100
 1420: 21.300000/100
 1430: 22.400000/100
 1440: 19.100000/100
 1450: 20.300000/100
 1460: 22.100000/100
 1470: 21.900000/100
 1480: 23.000000/100
 1490: 20.600000/100
 1500: 20.100000/100
 1510: 22.100000/100
 1520: 21.400000/100
 1530: 20.700000/100
 1540: 21.500000/100
 1550: 22.900000/100
 1560: 20.700000/100
 1570: 19.000000/100
 1580: 23.300000/100
 1590: 21.000000/100
 1600: 20.900000/100
 1610: 21.600000/100
 1620: 22.800000/100
 1630: 20.600000/100
 1640: 18.300000/100
 1650: 20.100000/100
 1660: 21.300000/100
 1670: 21.200000/100
 1680: 20.700000/100
 1690: 21.400000/100
